"Table 4: GDHI per head as indices, UK equals 100",,,,,,,,,,,,,,,,,,,,, , ,,,,,
ITL,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
UK,UK,United Kingdom, 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 
Other,TLB,England, 102.4 , 102.5 , 102.6 , 102.5 , 102.4 , 102.2 , 102.1 , 102.0 , 102.0 , 102.0 , 102.1 , 101.9 , 102.0 , 101.9 , 101.8 , 101.9 , 102.0 , 102.1 , 102.4 , 102.5 , 102.5 , 102.6 , 102.6 , 102.4 , 102.5 
ITL1,TLC,North East, 85.9 , 84.6 , 84.0 , 84.0 , 84.5 , 84.0 , 84.1 , 84.5 , 83.2 , 82.8 , 81.2 , 80.9 , 83.1 , 83.7 , 83.8 , 84.1 , 82.9 , 82.4 , 81.1 , 81.1 , 80.9 , 80.0 , 79.9 , 81.0 , 81.5 
ITL2,TLC1,Tees Valley and Durham, 85.4 , 83.2 , 83.3 , 83.0 , 83.7 , 82.9 , 82.6 , 83.1 , 82.5 , 81.7 , 79.9 , 79.4 , 81.3 , 82.0 , 82.2 , 82.4 , 80.9 , 81.0 , 79.4 , 79.3 , 79.2 , 78.4 , 78.2 , 79.6 , 79.8 
ITL3,TLC11,Hartlepool and Stockton-on-Tees, 86.0 , 83.5 , 84.1 , 83.1 , 83.6 , 84.0 , 83.8 , 84.5 , 84.8 , 84.4 , 82.6 , 82.5 , 84.1 , 84.5 , 85.7 , 85.2 , 82.7 , 82.8 , 80.6 , 80.6 , 80.5 , 79.4 , 79.7 , 81.2 , 81.3 
ITL3,TLC12,South Teesside, 83.1 , 78.3 , 79.1 , 79.2 , 80.1 , 78.6 , 78.2 , 78.6 , 78.5 , 78.4 , 76.0 , 75.8 , 78.9 , 78.6 , 79.2 , 80.8 , 79.2 , 80.0 , 78.0 , 77.4 , 77.1 , 76.8 , 76.5 , 77.8 , 76.9 
ITL3,TLC13,Darlington, 89.2 , 86.2 , 84.2 , 86.4 , 90.0 , 88.0 , 87.9 , 87.1 , 85.6 , 83.6 , 84.0 , 81.9 , 84.0 , 84.0 , 82.3 , 82.7 , 82.3 , 81.2 , 80.4 , 82.5 , 84.3 , 82.7 , 82.4 , 86.1 , 84.8 
ITL3,TLC14,Durham CC, 85.6 , 85.3 , 85.0 , 84.5 , 84.7 , 83.8 , 83.2 , 84.1 , 82.7 , 81.7 , 79.7 , 79.1 , 80.5 , 82.0 , 81.9 , 81.6 , 80.6 , 80.5 , 79.3 , 78.8 , 78.6 , 77.8 , 77.5 , 78.3 , 79.5 
ITL2,TLC2,"Northumberland, and Tyne and Wear", 86.3 , 85.7 , 84.6 , 84.8 , 85.2 , 84.9 , 85.4 , 85.7 , 83.9 , 83.7 , 82.3 , 82.2 , 84.6 , 85.2 , 85.1 , 85.6 , 84.4 , 83.6 , 82.5 , 82.6 , 82.3 , 81.2 , 81.3 , 82.2 , 82.9 
ITL3,TLC21,Northumberland, 95.1 , 94.0 , 94.5 , 95.0 , 95.2 , 94.4 , 95.6 , 95.2 , 93.9 , 95.6 , 93.2 , 96.2 , 100.3 , 99.2 , 98.7 , 98.4 , 97.5 , 96.5 , 95.1 , 95.6 , 95.3 , 93.9 , 93.4 , 93.7 , 94.0 
