TES Sector,TES Subsector,TES Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Domestic transport,Road,Passenger cars,72.0,71.8,73.4,74.3,73.7,72.9,75.7,76.0,75.6,77.0,76.6,76.6,78.4,77.2,77.7,77.6,77.2,77.2,75.9,73.6,71.5,70.8,70.3,69.6,70.0,70.9,72.1,72.1,70.7,69.9,52.0,57.4,59.6
,Road,HGVs,21.3,20.2,20.2,20.4,21.1,20.9,21.5,21.6,21.0,20.9,20.6,20.6,21.1,21.2,21.6,21.7,21.7,21.8,20.2,18.5,19.0,18.5,18.3,18.3,18.7,19.5,19.9,20.1,20.0,19.4,18.5,20.2,19.1
,Road,Light duty vehicles,11.5,11.9,12.0,12.1,12.6,12.5,13.0,13.4,13.6,13.6,13.5,13.5,13.7,14.1,14.5,14.9,15.2,15.7,14.9,14.6,15.0,15.1,15.5,15.6,16.3,17.1,18.4,18.6,18.6,18.2,16.5,18.6,18.6
,Road,Buses,5.3,5.4,5.3,5.3,5.4,5.5,5.6,5.6,5.4,5.2,4.9,4.8,4.8,4.9,4.6,4.6,4.6,4.7,4.1,4.1,4.2,3.9,3.9,3.8,3.7,3.6,3.5,3.3,3.1,3.0,2.2,2.4,2.6
,Road,Mopeds & motorcycles,0.7,0.7,0.6,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5
,Road,Road vehicle LPG and biofuel use (all vehicles),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4
,Railways,Railways - mobile combustion,1.5,1.5,1.5,1.5,1.4,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.7,1.8,1.8,1.9,1.9,2.0,2.0,2.0,2.0,1.9,2.0,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.4,1.6,1.5
,Railways,Railways - stationary combustion,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Waterborne,Fishing,0.9,0.8,0.9,0.9,0.9,1.0,0.9,0.8,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5
,Waterborne,Shipping - coastal,7.3,7.2,7.1,7.2,8.2,8.5,8.6,8.4,8.6,8.7,7.9,7.5,7.6,7.2,7.0,6.9,6.4,6.4,6.1,5.8,5.5,5.1,4.6,4.2,4.4,4.7,4.6,4.4,4.4,4.5,3.9,3.9,3.9
,Waterborne,Shipping - other,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1.0,0.7,0.9,1.0
,Civil aviation,Civil aviation,1.5,1.5,1.5,1.5,1.4,1.4,1.6,1.7,1.8,2.0,2.1,2.2,2.2,2.3,2.4,2.6,2.5,2.3,2.2,2.0,1.8,1.7,1.6,1.7,1.6,1.6,1.5,1.6,1.5,1.4,0.6,0.7,1.1
,Other domestic transport,Military aviation,3.9,2.9,2.8,3.0,2.9,2.8,2.7,2.4,2.4,2.2,2.0,2.1,2.3,2.3,2.1,2.0,2.6,2.9,2.4,2.1,2.0,2.0,1.8,1.6,1.5,1.2,1.1,1.1,1.1,1.2,1.0,1.0,1.1
,Other domestic transport,Military shipping,1.4,1.5,1.4,1.2,1.1,1.1,1.2,1.2,0.9,1.0,0.9,0.9,0.8,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.6,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4
,Other domestic transport,Aircraft support vehicles,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.2,0.1,0.4
,Other domestic transport,Mobile air-conditioning - F-gases,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.0,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.1
,Other domestic transport,Transport refrigeration - F-gases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.4
,Other domestic transport,Lubricant use in engines,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Other domestic transport,Urea use in transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Other domestic transport,Refrigerated transport machinery,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
,Other domestic transport,Seaport machinery,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.0,1.2,1.1,1.2,1.2,1.2,1.1,1.0,1.1,1.0,0.9,0.8,0.6,0.7,0.7,0.5,0.4,0.4,0.5,0.4,0.4,0.4
