date,series,value
2011-04-01,Exports Ratio,0.24295756174163785
2011-07-01,Exports Ratio,0.2244857382936123
2011-10-01,Exports Ratio,0.23071767754737862
2012-01-01,Exports Ratio,0.254593097261265
2012-04-01,Exports Ratio,0.2357513981720156
2012-07-01,Exports Ratio,0.27246438608478163
2012-10-01,Exports Ratio,0.20768584468947587
2013-01-01,Exports Ratio,0.2431092978250825
2013-04-01,Exports Ratio,0.22940426623636953
2013-07-01,Exports Ratio,0.25586951996929885
2013-10-01,Exports Ratio,0.23751315706858345
2014-01-01,Exports Ratio,0.26288289917697294
2014-04-01,Exports Ratio,0.23146689233134143
2014-07-01,Exports Ratio,0.22829726661975883
2014-10-01,Exports Ratio,0.2210237357571623
2015-01-01,Exports Ratio,0.21489234838465882
2015-04-01,Exports Ratio,0.2000348537655001
2015-07-01,Exports Ratio,0.1976339507366833
2015-10-01,Exports Ratio,0.18328233745162834
2016-01-01,Exports Ratio,0.19036222980681114
2016-04-01,Exports Ratio,0.18773919268084485
2016-07-01,Exports Ratio,0.18603481888349702
2016-10-01,Exports Ratio,0.1802984880467058
2017-01-01,Exports Ratio,0.19450687617999504
2017-04-01,Exports Ratio,0.18245622620909985
2017-07-01,Exports Ratio,0.18085502433234116
2017-10-01,Exports Ratio,0.17824662570599145
2018-01-01,Exports Ratio,0.1862478844642195
2018-04-01,Exports Ratio,0.1869352792247655
2018-07-01,Exports Ratio,0.18974866936525034
2018-10-01,Exports Ratio,0.20476850616438588
2019-01-01,Exports Ratio,0.19956523615183297
2019-04-01,Exports Ratio,0.19117473520227246
2019-07-01,Exports Ratio,0.1805696568457902
2019-10-01,Exports Ratio,0.18718583266538613
2020-01-01,Exports Ratio,0.23895210063843514
2020-04-01,Exports Ratio,0.15840069690626332
2020-07-01,Exports Ratio,0.16959410794113858
2020-10-01,Exports Ratio,0.16648441584633175
2021-01-01,Exports Ratio,0.20636927647996064
2021-04-01,Exports Ratio,0.20051294877932663
2021-07-01,Exports Ratio,0.19554499129728767
2021-10-01,Exports Ratio,0.20121355523089743
2022-01-01,Exports Ratio,0.21496247379431843
2022-04-01,Exports Ratio,0.22621233579841454
2011-04-01,Imports Ratio,0.30857062070561664
2011-07-01,Imports Ratio,0.2837141713632722
2011-10-01,Imports Ratio,0.2976300594227865
2012-01-01,Imports Ratio,0.31670433187133096
2012-04-01,Imports Ratio,0.3037257664810871
2012-07-01,Imports Ratio,0.3154935197011596
2012-10-01,Imports Ratio,0.2930678115006998
2013-01-01,Imports Ratio,0.30787463854137737
2013-04-01,Imports Ratio,0.286041176107129
2013-07-01,Imports Ratio,0.2833515792099038
2013-10-01,Imports Ratio,0.2560605090448888
2014-01-01,Imports Ratio,0.27861283898965206
2014-04-01,Imports Ratio,0.26215497072938587
2014-07-01,Imports Ratio,0.2640065010310998
2014-10-01,Imports Ratio,0.25234942431440005
2015-01-01,Imports Ratio,0.23371116262591277
2015-04-01,Imports Ratio,0.22586521293436854
2015-07-01,Imports Ratio,0.22874918105842704
2015-10-01,Imports Ratio,0.2052516947395171
2016-01-01,Imports Ratio,0.20141275198289696
2016-04-01,Imports Ratio,0.20252217616039112
2016-07-01,Imports Ratio,0.20670266958845732
2016-10-01,Imports Ratio,0.20565285726510846
2017-01-01,Imports Ratio,0.20241523852193655
2017-04-01,Imports Ratio,0.21950190190976063
2017-07-01,Imports Ratio,0.20223915701276382
2017-10-01,Imports Ratio,0.21158049849287688
2018-01-01,Imports Ratio,0.21694044105922342
2018-04-01,Imports Ratio,0.22704418766829076
2018-07-01,Imports Ratio,0.23377624237557298
2018-10-01,Imports Ratio,0.24747540300496476
2019-01-01,Imports Ratio,0.2206772442793709
2019-04-01,Imports Ratio,0.2295282220444991
2019-07-01,Imports Ratio,0.20648840802003177
2019-10-01,Imports Ratio,0.20708667498737252
2020-01-01,Imports Ratio,0.2635462819741727
2020-04-01,Imports Ratio,0.14208333010361712
2020-07-01,Imports Ratio,0.16030884327255898
2020-10-01,Imports Ratio,0.18007297542404635
2021-01-01,Imports Ratio,0.23079547886210075
2021-04-01,Imports Ratio,0.20587952103012036
2021-07-01,Imports Ratio,0.21672123993195297
2021-10-01,Imports Ratio,0.23731107094087608
2022-01-01,Imports Ratio,0.24443856917815537
2022-04-01,Imports Ratio,0.27935621862916277
